Date,Open,Close,Volume,days,Buy_Sell
2019-10-17,115.610001,115.349998,3722400,3573,0
2019-10-18,115.139999,114.739998,5679900,3574,1
2019-10-21,115.550003,116.610001,3926300,3577,1
2019-10-22,116.629997,117.800003,4095000,3578,1
2019-10-23,117.400002,117.980003,4148500,3579,0
2019-10-24,118.470001,117.580002,3873900,3580,1
2019-10-25,117.769997,118.669998,3369100,3581,0
2019-10-28,119.080002,118.480003,5076300,3584,0
2019-10-29,117.970001,118.129997,4548400,3585,0
2019-10-30,118.18,116.360001,4690900,3586,0
2019-10-31,115.860001,116.139999,7177700,3587,1
2019-11-01,115.489998,116.209999,7684700,3588,1
2019-11-04,117.230003,121.57,10348800,3591,1
2019-11-05,121.230003,121.940002,6971200,3592,0
2019-11-06,121.940002,119.900002,6104700,3593,1
2019-11-07,121.129997,121.889999,5440700,3594,0
2019-11-08,120.970001,120.93,4249800,3595,0
2019-11-11,120.199997,120.809998,3870800,3598,1
2019-11-12,121.290001,120.959999,4503600,3599,1
2019-11-13,120.459999,122.279999,5076400,3600,0
2019-11-14,121.849998,121.959999,4882800,3601,0
2019-11-15,121.220001,120.639999,5589600,3602,0
2019-11-18,119.82,118.550003,4885300,3605,0
2019-11-19,118.5,116.449997,8723000,3606,1
2019-11-20,116.410004,117.339996,5903100,3607,1
2019-11-21,117.610001,118.769997,5810900,3608,0
2019-11-22,119.059998,118.629997,4786800,3609,0
2019-11-25,118.43,118.379997,7390000,3612,0
2019-11-26,118.339996,117.790001,10053100,3613,1
2019-11-27,117.989998,118.07,4106100,3614,0
2019-11-29,117.279999,117.129997,3271000,3616,0
2019-12-02,117.980003,116.800003,5195200,3619,0
2019-12-03,116.199997,115.889999,6135800,3620,1
2019-12-04,116.639999,116.940002,5706700,3621,0
2019-12-05,117.620003,116.330002,5517500,3622,1
2019-12-06,117.089996,118.010002,6735300,3623,0
2019-12-09,116.519997,117.300003,4736100,3626,1
2019-12-10,118.029999,117.889999,4886800,3627,0
2019-12-11,117.089996,116.230003,7039600,3628,1
2019-12-12,116.589996,118.809998,6462000,3629,0
2019-12-13,119.050003,117.959999,4863400,3630,1
2019-12-16,118.860001,119.360001,5619300,3633,0
2019-12-17,119.589996,118.599998,6755500,3634,0
2019-12-18,118.68,118.550003,7496700,3635,0
2019-12-19,118.57,118.129997,6220300,3636,1
2019-12-20,119.400002,119.68,12171100,3637,1
2019-12-23,119.309998,120.330002,5875000,3640,1
2019-12-24,120.43,120.339996,1640100,3641,1
2019-12-26,120.669998,120.599998,3648600,3643,0
2019-12-27,120.889999,120.300003,4138300,3644,0
2019-12-30,120.440002,119.849998,4580200,3647,1
2019-12-31,119.5,120.510002,4215700,3648,1
2020-01-02,120.809998,121.43,5205000,3650,0
2020-01-03,121.779999,121.010002,6360900,3651,0
2020-01-06,121.239998,120.599998,9953000,3654,0
2020-01-07,119.019997,119.059998,7856900,3655,0
2020-01-08,118.550003,117.699997,7295900,3656,0
2020-01-09,117.589996,117.510002,7345300,3657,0
2020-01-10,117.519997,116.440002,6393800,3658,1
2020-01-13,116.470001,116.660004,6846700,3661,0
2020-01-14,116.5,116.300003,7189100,3662,0
2020-01-15,116.300003,116.129997,5808800,3663,1
2020-01-16,116.559998,116.889999,7022000,3664,0
2020-01-17,117.010002,115.580002,7885900,3665,0
2020-01-21,115.099998,113.309998,8470300,3669,0
2020-01-22,113.099998,112.900002,5589900,3670,1
2020-01-23,112.400002,113.099998,8007800,3671,0
2020-01-24,112.790001,111.849998,6920000,3672,0
2020-01-27,110.25,110.389999,7609800,3675,1
2020-01-28,110.980003,111.120003,5771900,3676,0
2020-01-29,111.449997,110.370003,4772800,3677,1
2020-01-30,109.809998,111.400002,8382700,3678,0
2020-01-31,109.809998,107.139999,13699600,3679,0
2020-02-03,106.949997,106.279999,8785500,3682,1
2020-02-04,107.68,106.849998,9909000,3683,1
2020-02-05,108.269997,110.279999,6914100,3684,0
2020-02-06,110.629997,109.489998,6274000,3685,0
2020-02-07,108.93,108.940002,4830100,3686,1
2020-02-10,108.540001,109.790001,6011800,3689,1
2020-02-11,110.779999,111.209999,6072700,3690,1
2020-02-12,112.510002,112.040001,5725700,3691,0
2020-02-13,111.370003,111.660004,5991900,3692,0
2020-02-14,110.839996,110.080002,5148700,3693,1
2020-02-18,109.0,110.239998,4975800,3697,1
2020-02-19,110.519997,110.739998,5887500,3698,0
2020-02-20,110.779999,109.809998,4466600,3699,0
2020-02-21,108.989998,109.010002,6443900,3700,0
2020-02-24,105.709999,104.709999,9539800,3703,0
2020-02-25,104.800003,100.709999,12871900,3704,0
2020-02-26,100.860001,98.040001,11990400,3705,0
2020-02-27,95.949997,94.129997,15783700,3706,0
2020-02-28,90.629997,93.339996,20835100,3707,1
2020-03-02,94.019997,96.589996,15050800,3710,0
2020-03-03,96.790001,94.389999,16525500,3711,1
2020-03-04,96.370003,98.529999,14753000,3712,0
2020-03-05,95.709999,97.190002,12814400,3713,0
2020-03-06,93.919998,95.32,16861900,3714,0
2020-03-09,82.230003,80.669998,30595500,3717,1
2020-03-10,86.239998,84.980003,22642900,3718,0
2020-03-11,82.230003,83.029999,18412800,3719,0
2020-03-12,77.230003,76.260002,25768200,3720,1
2020-03-13,79.980003,83.419998,23497500,3721,0
2020-03-16,72.57,69.699997,17535300,3724,1
2020-03-17,70.400002,70.690002,22684200,3725,0
2020-03-18,66.209999,55.049999,24947300,3726,1
2020-03-19,55.259998,57.389999,29871000,3727,1
2020-03-20,59.529999,59.389999,26960400,3728,0
2020-03-23,58.259998,54.220001,23764000,3731,1
2020-03-24,61.48,66.550003,29198800,3732,1
2020-03-25,68.290001,69.269997,22560100,3733,1
2020-03-26,70.300003,76.379997,24129100,3734,0
2020-03-27,72.120003,68.779999,20411500,3735,1
2020-03-30,68.010002,71.949997,18486800,3738,1
2020-03-31,73.269997,72.459999,18514200,3739,0
2020-04-01,69.510002,68.559998,14362000,3740,1
2020-04-02,71.75,76.120003,23220600,3741,0
2020-04-03,78.0,75.110001,14905400,3742,1
2020-04-06,77.0,80.389999,17334900,3745,1
2020-04-07,84.260002,80.919998,16394800,3746,1
2020-04-08,82.290001,85.980003,12284800,3747,0
2020-04-09,88.739998,84.309998,17023800,3748,1
2020-04-13,87.18,84.910004,13854700,3752,0
2020-04-14,85.459999,84.610001,14797600,3753,0
2020-04-15,80.459999,82.489998,13982300,3754,0
2020-04-16,81.309998,79.989998,12291900,3755,1
2020-04-17,81.330002,87.169998,16130100,3756,0
2020-04-20,82.660004,83.57,15749000,3759,0
2020-04-21,80.279999,81.639999,19620600,3760,1
